drugbank_id,reaction_id,sequence,left_element_drug_id,left_element_name,right_element_drug_id,right_element_name
DB00635,DB00635_rxn_1,1,DB00635,Prednisone,DBMET02860,20α-dihydro-prednisone (M-V)
DB00635,DB00635_rxn_2,1,DB00635,Prednisone,DBMET02861,20β-dihydro-prednisone (M-IV)
DB00635,DB00635_rxn_3,1,DB00635,Prednisone,DBMET00627,Prednisolone
DB00635,DB00635_rxn_4,1,DB00635,Prednisone,DBMET02863,6α-hydroxy-prednisone (M-XIII)
DB00635,DB00635_rxn_5,1,DB00635,Prednisone,DBMET02864,6βhydroxy-prednisone (M-XII)
DB00635,DB00635_rxn_6,2,DBMET00627,Prednisolone,DBMET02848,Δ6-prednisolone (M-XI)
DB00635,DB00635_rxn_7,2,DBMET00627,Prednisolone,DBMET02849,20α-dihydro-prednisolone (M-III)
DB00635,DB00635_rxn_8,2,DBMET00627,Prednisolone,DBMET02850,20β-dihydro-prednisolone (M-II)
DB00635,DB00635_rxn_9,2,DBMET00627,Prednisolone,DBMET02851,6αhydroxy-prednisolone (M-VII)
DB00635,DB00635_rxn_10,2,DBMET00627,Prednisolone,DBMET02853,6βhydroxy-prednisolone(M-VI)
DB00635,DB00635_rxn_11,2,DBMET02861,20β-dihydro-prednisone (M-IV),DBMET02862,"17α,20ξ,21-trihydroxy-5ξ-pregn-1-en-3,11-dione(M-XVIII)"
DB00635,DB00635_rxn_12,3,DBMET02851,6αhydroxy-prednisolone (M-VII),DBMET02852,"6α,11β,17α,20β,21-pentahydroxypregnan-1,4-diene-3-one (M-X)"
DB00635,DB00635_rxn_13,3,DBMET02853,6βhydroxy-prednisolone(M-VI),DBMET02854,"6β,11β,17α,20β,21-pentahydroxypregnan-1,4-diene-3-one (M-VIII)"
DB00635,DB00635_rxn_14,3,DBMET02853,6βhydroxy-prednisolone(M-VI),DBMET02856,"6β,11β,17α,21-tetrahydroxy-5ξ-pregn-1-en-3,20-dione (M-XIV)"
DB00635,DB00635_rxn_15,3,DBMET02853,6βhydroxy-prednisolone(M-VI),DBMET02857,"6β,11β,17α,20α,21-pentahydroxypregnan-1,4-diene-3-one (M-IX)"
DB00635,DB00635_rxn_16,4,DBMET02854,"6β,11β,17α,20β,21-pentahydroxypregnan-1,4-diene-3-one (M-VIII)",DBMET02855,"6β,11β,17α,20β,21-pentahydroxy-5ξ-pregn-1-en-3-one (M-XV)"
DB00635,DB00635_rxn_17,4,DBMET02857,"6β,11β,17α,20α,21-pentahydroxypregnan-1,4-diene-3-one (M-IX)",DBMET02858,"6β,11β,17α,20α,21-pentahydroxy-5ξ-pregn-1-en-3-one (M-XVI)"
DB00635,DB00635_rxn_18,5,DBMET02855,"6β,11β,17α,20β,21-pentahydroxy-5ξ-pregn-1-en-3-one (M-XV)",DBMET02856,"6β,11β,17α,21-tetrahydroxy-5ξ-pregn-1-en-3,20-dione (M-XIV)"
DB00635,DB00635_rxn_19,5,DBMET02858,"6β,11β,17α,20α,21-pentahydroxy-5ξ-pregn-1-en-3-one (M-XVI)",DBMET02856,"6β,11β,17α,21-tetrahydroxy-5ξ-pregn-1-en-3,20-dione (M-XIV)"
DB00637,DB00637_rxn_0,1,DB00637,Astemizole,DBMET01618,6-Hydroxyastemizole
DB00637,DB00637_rxn_1,1,DB00637,Astemizole,DBMET01619,2-(4-hydroxyphenyl)acetaldehyde
DB00637,DB00637_rxn_2,1,DB00637,Astemizole,DB06457,Tecastemizole
DB00637,DB00637_rxn_3,1,DB00637,Astemizole,DBMET00350,desmethylastemizole
DB00638,DB00638_rxn_0,1,DB00638,Inulin,DBMET00554,Methane
DB00640,DB00640_rxn_0,1,DB00640,Adenosine,DBMET00485,Adenosine monophosphate
DB00640,DB00640_rxn_1,1,DB00640,Adenosine,DBMET00496,Inosine
DB00640,DB00640_rxn_2,2,DBMET00496,Inosine,DBMET00493,Hypoxanthine
DB00640,DB00640_rxn_3,2,DBMET00485,Adenosine monophosphate,DBMET03265,Adenosine Diphosphate
DB00640,DB00640_rxn_4,3,DBMET03265,Adenosine Diphosphate,DB00171,ATP
DB00640,DB00640_rxn_5,3,DBMET00493,Hypoxanthine,DBMET00499,Xanthine
DB00640,DB00640_rxn_6,4,DBMET00499,Xanthine,DBMET00498,Uric acid
DB00641,DB00641_rxn_0,1,DB00641,Simvastatin,DBMET01745,6'-beta-Hydroxysimvastatin
DB00641,DB00641_rxn_1,1,DB00641,Simvastatin,DBMET01746,"3', 5'-Dihydrodiol"
DB00641,DB00641_rxn_2,1,DB00641,Simvastatin,DBMET01747,6'-exomethylene
DB00641,DB00641_rxn_3,1,DB00641,Simvastatin,DBMET00388,simvastatin hydroxy acid
DB00643,DB00643_rxn_0,1,DB00643,Mebendazole,DBMET00675,2-amino-5-benzoylbenzimidazole
DB00648,DB00648_rxn_0,1,DB00648,Mitotane,DBMET03760,Mitotane β-hydroxylated metabolite
DB00648,DB00648_rxn_1,1,DB00648,Mitotane,DBMET03762,"1,1-(o,p'-dichlorodiphenyl) acetic acid"
DB00648,DB00648_rxn_2,2,DBMET03760,Mitotane β-hydroxylated metabolite,DBMET03761,Mitotane acyl chloride metabolite
DB00650,DB00650_rxn_0,1,DB00650,Leucovorin,DBMET00528,5-Methyltetrahydrofolate
DB00654,DB00654_rxn_0,1,DB00654,Latanoprost,DBMET02771,Latanoprost acid
DB00654,DB00654_rxn_1,2,DBMET02771,Latanoprost acid,DBMET02772,"1, 2 Dinor Latanoprost Acid"
DB00654,DB00654_rxn_2,2,DBMET02771,Latanoprost acid,DBMET02773,"1,2,3,4 Tetranor Latanoprost Acid"
DB00655,DB00655_rxn_0,1,DB00655,Estrone,DBMET00530,Estrone sulfate
DB00655,DB00655_rxn_1,1,DB00655,Estrone,DBMET00569,Estrone glucuronide
DB00655,DB00655_rxn_2,1,DB00655,Estrone,DBMET00332,4-hydroxyestrone
DB00655,DB00655_rxn_3,1,DB00655,Estrone,DBMET00615,2-Hydroxyestrone sulfate
DB00655,DB00655_rxn_4,1,DB00655,Estrone,DBMET00616,4-Hydroxyestrone sulfate
DB00655,DB00655_rxn_5,1,DB00655,Estrone,DBMET01659,2-OH-estrone
DB00655,DB00655_rxn_6,1,DB00655,Estrone,DBMET01660,4-OH-estrone
DB00655,DB00655_rxn_7,1,DB00655,Estrone,DBMET01661,6alpha-OH-estrone
DB00655,DB00655_rxn_8,1,DB00655,Estrone,DBMET01662,6beta-estrone
DB00655,DB00655_rxn_9,1,DB00655,Estrone,DBMET01663,7alpha-OH-estrone
DB00655,DB00655_rxn_10,1,DB00655,Estrone,DBMET01664,15alpha-OH-estrone
DB00655,DB00655_rxn_11,1,DB00655,Estrone,DBMET01665,16alpha-OH-estrone
DB00655,DB00655_rxn_12,1,DB00655,Estrone,DBMET01666,16beta-OH-estrone
DB00655,DB00655_rxn_13,1,DB00655,Estrone,DBMET00248,2-hydroxyestrone
DB00656,DB00656_rxn_0,1,DB00656,Trazodone,DBMET00344,m-chlorophenylpiperazine (m-CPP) 
DB00656,DB00656_rxn_1,1,DB00656,Trazodone,DBMET02628,Triazolopyridinone dihydrodiol
DB00656,DB00656_rxn_2,1,DB00656,Trazodone,DBMET00404,triazolopyridinone epoxide
DB00656,DB00656_rxn_3,1,DB00656,Trazodone,DBMET00405,4'-hydroxytrazodone 
DB00661,DB00661_rxn_0,1,DB00661,Verapamil,DBMET00619,O-Desmethylverapamil (D-702)
DB00661,DB00661_rxn_1,1,DB00661,Verapamil,DBMET00131,Verapamil metabolite D-617
DB00661,DB00661_rxn_2,1,DB00661,Verapamil,DBMET00132,Norverapamil
DB00661,DB00661_rxn_3,1,DB00661,Verapamil,DBMET00471,O-Desmethylverapamil (D-703)
DB00661,DB00661_rxn_4,2,DBMET00619,O-Desmethylverapamil (D-702),DBMET01234,Verapamil metabolite D-620
DB00661,DB00661_rxn_5,2,DBMET00131,Verapamil metabolite D-617,DBMET01234,Verapamil metabolite D-620
DB00661,DB00661_rxn_6,2,DBMET00131,Verapamil metabolite D-617,DBMET01235,Verapamil metabolite PR-25
DB00661,DB00661_rxn_7,2,DBMET00132,Norverapamil,DBMET01236,Verapamil metabolite D-715 (PR-22)
DB00661,DB00661_rxn_8,2,DBMET00132,Norverapamil,DBMET01234,Verapamil metabolite D-620
DB00668,DB00668_rxn_0,1,DB00668,Epinephrine,DBMET00537,Epinephrine sulfate
DB00668,DB00668_rxn_1,1,DB00668,Epinephrine,DBMET02192,Metanephrine
DB00668,DB00668_rxn_2,1,DB00668,Epinephrine,DBMET02193,Dihydroxymandelic acid
DB00668,DB00668_rxn_3,1,DB00668,Epinephrine,DBMET00591,Epinephrine glucuronide
DB00669,DB00669_rxn_0,1,DB00669,Sumatriptan,DBMET02583,Sumatriptan Metabolite GR49336
DB00669,DB00669_rxn_1,1,DB00669,Sumatriptan,DBMET02585,Sumatriptan Metabolite GR34633
DB00669,DB00669_rxn_2,2,DBMET02583,Sumatriptan Metabolite GR49336,DBMET02584,Sumatriptan Metabolite Ester Glucuronide of GR49336
DB00672,DB00672_rxn_0,1,DB00672,Chlorpropamide,DBMET01628,2-OH-chlorpropamide
DB00672,DB00672_rxn_1,1,DB00672,Chlorpropamide,DBMET01629,3-OH-chlorpropamide
DB00672,DB00672_rxn_2,1,DB00672,Chlorpropamide,DBMET00199,2-Hydroxychlorpropamide
DB00672,DB00672_rxn_3,1,DB00672,Chlorpropamide,DBMET00200,3-Hydroxychlorpropamide
DB00672,DB00672_rxn_4,1,DB00672,Chlorpropamide,DBMET00201,4-Chlorobenzenesulfonylurea
DB00672,DB00672_rxn_5,2,DBMET00201,4-Chlorobenzenesulfonylurea,DBMET00977,4-Chlorobenzenesulfonamide
DB00673,DB00673_rxn_0,1,DB00673,Aprepitant,DBMET01589,"(2R,3S)-2-[(1R)-1-[3,5-bis(trifluoromethyl)phenyl]ethoxy]-3-(4-fluorophenyl)morpholine"
DB00673,DB00673_rxn_1,1,DB00673,Aprepitant,DBMET01590,"5-oxo-1,4-dihydro-1,2,4-triazole-3-carbaldehyde"
DB00673,DB00673_rxn_2,1,DB00673,Aprepitant,DBMET01591,"1-[3,5-bis(trifluoromethyl)phenyl]ethanone"
DB00673,DB00673_rxn_3,1,DB00673,Aprepitant,DBMET01592,"5-{[(2S,3S)-3-(4-fluorophenyl)-2-hydroxymorpholin-4-yl]methyl}-2,4-dihydro-1,2,4-triazol-3-one"
DB00673,DB00673_rxn_4,1,DB00673,Aprepitant,DBMET00349,"(2S,3R)-2-[(1R)-1-[3,5-bis(trifluoromethyl)phenyl]ethoxy]-3-(4-fluorophenyl)morpholine"
DB00673,DB00673_rxn_5,1,DB00673,Aprepitant,DBMET00474,"5-({[(1R)-1-(4-fluorophenyl)-2-hydroxyethyl]amino}methyl)-2,3-dihydro-1H-1,2,4-triazol-3-one"
DB00673,DB00673_rxn_6,1,DB00673,Aprepitant,DBMET00475,"(2R)-2-(4-fluorophenyl)-2-{[(5-oxo-2,5-dihydro-1H-1,2,4-triazol-3-yl)methyl]amino}acetic acid"
DB00674,DB00674_rxn_0,1,DB00674,Galantamine,DBMET03138,O-desmethyl-galantamine
DB00674,DB00674_rxn_1,1,DB00674,Galantamine,DBMET03139,Galantamine N-oxide
DB00674,DB00674_rxn_2,1,DB00674,Galantamine,DBMET03140,Galantamine glucuronide
DB00674,DB00674_rxn_3,1,DB00674,Galantamine,DBMET03146,N-desmethyl-galantamine
DB00674,DB00674_rxn_4,1,DB00674,Galantamine,DBMET03147,Sulfate conjugate of galantamine
DB00674,DB00674_rxn_5,1,DB00674,Galantamine,DBMET03148,Galantaminone
DB00674,DB00674_rxn_6,2,DBMET03148,Galantaminone,DBMET03149,O-desmethyl-galantaminone
DB00674,DB00674_rxn_7,2,DBMET03148,Galantaminone,DBMET03150,Epigalantamine
DB00674,DB00674_rxn_8,2,DBMET03138,O-desmethyl-galantamine,DBMET03141,O-desmethyl-galantamine glucuronide
DB00674,DB00674_rxn_9,2,DBMET03138,O-desmethyl-galantamine,DBMET03142,Sulfate conjugate of O-desmethyl-galantamine
DB00674,DB00674_rxn_10,3,DBMET03150,Epigalantamine,DBMET03151,N-desmethyl-epigalantamine
DB00674,DB00674_rxn_11,3,DBMET03150,Epigalantamine,DBMET03153,Sulfate conjugate of epigalantamine
DB00674,DB00674_rxn_12,3,DBMET03150,Epigalantamine,DBMET03154,Epigalantamine N-oxide
DB00674,DB00674_rxn_13,3,DBMET03150,Epigalantamine,DBMET03156,O-desmethyl-epigalantamine
DB00674,DB00674_rxn_14,4,DBMET03156,O-desmethyl-epigalantamine,DBMET03157,O-desmethyl-epigalantamine glucuronide
DB00675,DB00675_rxn_0,1,DB00675,Tamoxifen,DBMET00029,N-Desmethyltamoxifen
DB00675,DB00675_rxn_1,1,DB00675,Tamoxifen,DBMET02703,α-hydroxytamoxifen
DB00675,DB00675_rxn_2,1,DB00675,Tamoxifen,DBMET00032,Tamoxifen N-oxide
DB00675,DB00675_rxn_3,1,DB00675,Tamoxifen,DBMET00030,4-Hydroxytamoxifen
DB00675,DB00675_rxn_4,2,DBMET00029,N-Desmethyltamoxifen,DBMET02699,N-desmethyltamoxifen Sulfate
DB00675,DB00675_rxn_5,2,DBMET00029,N-Desmethyltamoxifen,DBMET01044,Endoxifen (4-hydroxy-N-desmethyltamoxifen)
DB00675,DB00675_rxn_6,2,DBMET02703,α-hydroxytamoxifen,DBMET02705,α-hydroxytamoxifen Glucuronide
DB00675,DB00675_rxn_7,2,DBMET02703,α-hydroxytamoxifen,DBMET02704,α-tamoxifen Sulfate
DB00675,DB00675_rxn_8,2,DBMET00030,4-Hydroxytamoxifen,DBMET01044,Endoxifen (4-hydroxy-N-desmethyltamoxifen)
DB00675,DB00675_rxn_9,2,DBMET00030,4-Hydroxytamoxifen,DBMET00737,4-hydroxytamoxifen sulfate
DB00675,DB00675_rxn_10,2,DBMET00030,4-Hydroxytamoxifen,DBMET02702,Tamoxifen Glucuronides
DB00675,DB00675_rxn_11,2,DBMET00029,N-Desmethyltamoxifen,DBMET02714,"N,N-didesmethyltamoxifen"
DB00675,DB00675_rxn_12,3,DBMET00737,4-hydroxytamoxifen sulfate,DBMET01044,Endoxifen (4-hydroxy-N-desmethyltamoxifen)
DB00675,DB00675_rxn_13,3,DBMET01044,Endoxifen (4-hydroxy-N-desmethyltamoxifen),DBMET02702,Tamoxifen Glucuronides
DB00675,DB00675_rxn_14,3,DBMET01044,Endoxifen (4-hydroxy-N-desmethyltamoxifen),DBMET02700,4-endoxifen Sulfate
DB00675,DB00675_rxn_15,3,DBMET01044,Endoxifen (4-hydroxy-N-desmethyltamoxifen),DBMET00737,4-hydroxytamoxifen sulfate
DB00675,DB00675_rxn_16,3,DBMET01044,Endoxifen (4-hydroxy-N-desmethyltamoxifen),DBMET02702,Tamoxifen Glucuronides
DB00675,DB00675_rxn_17,3,DBMET01044,Endoxifen (4-hydroxy-N-desmethyltamoxifen),DBMET02700,4-endoxifen Sulfate
DB00675,DB00675_rxn_18,3,DBMET01044,Endoxifen (4-hydroxy-N-desmethyltamoxifen),DBMET00737,4-hydroxytamoxifen sulfate
DB00675,DB00675_rxn_19,3,DBMET02714,"N,N-didesmethyltamoxifen",DBMET02715,Tamoxifen Metabolite Y
DB00675,DB00675_rxn_20,3,DBMET01044,Endoxifen (4-hydroxy-N-desmethyltamoxifen),DBMET02719,"Norendoxifen (4-hydroxy-N,N-didesmethyltamoxifen)"
DB00675,DB00675_rxn_21,3,DBMET01044,Endoxifen (4-hydroxy-N-desmethyltamoxifen),DBMET02719,"Norendoxifen (4-hydroxy-N,N-didesmethyltamoxifen)"
DB00675,DB00675_rxn_22,4,DBMET01044,Endoxifen (4-hydroxy-N-desmethyltamoxifen),DBMET02702,Tamoxifen Glucuronides
DB00675,DB00675_rxn_23,4,DBMET01044,Endoxifen (4-hydroxy-N-desmethyltamoxifen),DBMET02700,4-endoxifen Sulfate
DB00675,DB00675_rxn_24,4,DBMET02715,Tamoxifen Metabolite Y,DBMET02716,Tamoxifen Metabolite E
DB00675,DB00675_rxn_25,4,DBMET01044,Endoxifen (4-hydroxy-N-desmethyltamoxifen),DBMET02719,"Norendoxifen (4-hydroxy-N,N-didesmethyltamoxifen)"
DB00675,DB00675_rxn_26,5,DBMET02716,Tamoxifen Metabolite E,DBMET02717,Tamoxifen Metabolite E Glucuronide
DB00675,DB00675_rxn_27,5,DBMET02716,Tamoxifen Metabolite E,DBMET02718,Tamoxifen Metabolite E Sulfate Conjugate
DB00678,DB00678_rxn_0,1,DB00678,Losartan,DBMET00009,Losartan carboxaldehyde
DB00678,DB00678_rxn_1,1,DB00678,Losartan,DBMET00010,Losartan N2-glucuronide
DB00678,DB00678_rxn_2,1,DB00678,Losartan,DBMET00303,Losartan carboxylic acid
DB00678,DB00678_rxn_3,2,DBMET00009,Losartan carboxaldehyde,DBMET00303,Losartan carboxylic acid
DB00679,DB00679_rxn_0,1,DB00679,Thioridazine,DBMET01842,Thioridazine 2-sulfoxide
DB00679,DB00679_rxn_1,1,DB00679,Thioridazine,DBMET01843,N-desmethylthioridazine
DB00679,DB00679_rxn_2,1,DB00679,Thioridazine,DBMET01844,Thioridazine 5-sulfoxide
DB00682,DB00682_rxn_0,1,DB00682,Warfarin,DBMET01042,S-7-Hydroxywarfarin
DB00682,DB00682_rxn_1,1,DB00682,Warfarin,DBMET00043,S-6-Hydroxywarfarin
DB00682,DB00682_rxn_2,1,DB00682,Warfarin,DBMET00044,S-4'-Hydroxywarfarin
DB00682,DB00682_rxn_3,1,DB00682,Warfarin,DBMET00045,R-4'-Hydroxywarfarin
DB00682,DB00682_rxn_4,1,DB00682,Warfarin,DBMET00046,R-6-Hydroxywarfarin
DB00682,DB00682_rxn_5,1,DB00682,Warfarin,DBMET02560,R-10(R)-Hydroxywarfarin
DB00682,DB00682_rxn_6,1,DB00682,Warfarin,DBMET00047,R-10(S)-Hydroxywarfarin
DB00682,DB00682_rxn_7,1,DB00682,Warfarin,DBMET00048,R-8-Hydroxywarfarin
DB00682,DB00682_rxn_8,1,DB00682,Warfarin,DBMET00049,R-7-Hydroxywarfarin
DB00682,DB00682_rxn_9,1,DB00682,Warfarin,DBMET02558,(R)9-hydroxywarfarin
DB00682,DB00682_rxn_10,1,DB00682,Warfarin,DBMET02559,(S)9-hydroxywarfarin
DB00682,DB00682_rxn_11,1,DB00682,Warfarin,DBMET02561,R-Warfarin-R-Alcohol
DB00682,DB00682_rxn_12,1,DB00682,Warfarin,DBMET02556,R-Warfarin-S-Alcohol
DB00682,DB00682_rxn_13,1,DB00682,Warfarin,DBMET02562,S-Warfarin-R-Alcohol
DB00682,DB00682_rxn_14,1,DB00682,Warfarin,DBMET02557,S-Warfarin-S-Alcohol
DB00682,DB00682_rxn_15,2,DBMET00046,R-6-Hydroxywarfarin,DBMET02547,R-6-Hydroxywarfarin sulfate
DB00682,DB00682_rxn_16,2,DBMET00049,R-7-Hydroxywarfarin,DBMET02551,R-7-Hydroxywarfarin glucuronide
DB00682,DB00682_rxn_17,2,DBMET00049,R-7-Hydroxywarfarin,DBMET02553,R-7-Hydroxywarfarin sulfate
DB00682,DB00682_rxn_18,2,DBMET00045,R-4'-Hydroxywarfarin,DBMET02555,R-4'-Hydroxywarfarin glucuronide
DB00682,DB00682_rxn_19,2,DBMET00047,R-10(S)-Hydroxywarfarin,DBMET02563,(E)-dehydrowarfarin
DB00682,DB00682_rxn_20,2,DBMET00047,R-10(S)-Hydroxywarfarin,DBMET02564,(Z)-dehydrowarfarin
DB00682,DB00682_rxn_21,2,DBMET02560,R-10(R)-Hydroxywarfarin,DBMET02563,(E)-dehydrowarfarin
DB00682,DB00682_rxn_22,2,DBMET02560,R-10(R)-Hydroxywarfarin,DBMET02564,(Z)-dehydrowarfarin
DB00683,DB00683_rxn_0,1,DB00683,Midazolam,DBMET03620,Midazolam-N-glucuronide
DB00683,DB00683_rxn_1,1,DB00683,Midazolam,DBMET00444,1-hydroxymidazolam
DB00683,DB00683_rxn_2,1,DB00683,Midazolam,DBMET00446,4-hydroxymidazolam
DB00683,DB00683_rxn_3,2,DBMET00444,1-hydroxymidazolam,DBMET03615,"1,4-dihydroxymidazolam"
DB00683,DB00683_rxn_4,2,DBMET00446,4-hydroxymidazolam,DBMET03615,"1,4-dihydroxymidazolam"
DB00683,DB00683_rxn_5,2,DBMET00444,1-hydroxymidazolam,DBMET03616,1-hydroxymidazolam-O-glucuronide
DB00683,DB00683_rxn_6,2,DBMET00444,1-hydroxymidazolam,DBMET03617,1-hydroxymidazolam-N-glucuronide
DB00683,DB00683_rxn_7,2,DBMET00446,4-hydroxymidazolam,DBMET03618,4-hydroxymidazolam-O-glucuronide
DB00683,DB00683_rxn_8,2,DBMET00446,4-hydroxymidazolam,DBMET03619,4-hydroxymidazolam-N-glucuronide
DB00685,DB00685_rxn_0,1,DB00685,Trovafloxacin,DBMET00640,Sulfamate
DB00687,DB00687_rxn_0,1,DB00687,Fludrocortisone,DBMET02845,20β-dihydrofluorocortisol
DB00687,DB00687_rxn_1,1,DB00687,Fludrocortisone,DBMET02846,6β-hydroxyfluorocortisol
DB00688,DB00688_rxn_0,1,DB00688,Mycophenolate mofetil,DB01024,Mycophenolic acid
DB00688,DB00688_rxn_1,1,DB00688,Mycophenolate mofetil,DBMET00916,Mycophenolic acid glucuronide
DB00688,DB00688_rxn_2,1,DB00688,Mycophenolate mofetil,DBMET02607,Mycophenolic acyl-glucuronide (AcMPAG)
DB00688,DB00688_rxn_3,1,DB00688,Mycophenolate mofetil,DBMET00918,N-(2-carboxymethyl)-morpholine
DB00688,DB00688_rxn_4,1,DB00688,Mycophenolate mofetil,DBMET00919,N-(2-hydroxyethyl)-morpholine
DB00688,DB00688_rxn_5,1,DB00688,Mycophenolate mofetil,DBMET00920,N-(2-hydroxyethyl)-morpholine N-oxide
DB00688,DB00688_rxn_6,2,DB01024,Mycophenolic acid,DBMET02606,6-O-desmethyl-MPA (DM-MPA)
DB00688,DB00688_rxn_7,2,DB01024,Mycophenolic acid,DBMET02610,7-O-MPA glucoside
DB00690,DB00690_rxn_0,1,DB00690,Flurazepam,DBMET00882,Hydroxyethylflurazepam
DB00690,DB00690_rxn_1,1,DB00690,Flurazepam,DBMET00933,Norflurazepam
DB00691,DB00691_rxn_0,1,DB00691,Moexipril,DBMET01140,Moexiprilat
DB00694,DB00694_rxn_0,1,DB00694,Daunorubicin,DBMET03411,Deoxydaunorubicin aglycone
DB00694,DB00694_rxn_1,1,DB00694,Daunorubicin,DBMET03404,Daunorubicinol
DB00694,DB00694_rxn_2,2,DBMET03411,Deoxydaunorubicin aglycone,DBMET03406,Deoxydaunorubicinol aglycone
DB00694,DB00694_rxn_3,2,DBMET03404,Daunorubicinol,DBMET03405,Daunorubicinol aglycone
DB00694,DB00694_rxn_4,2,DBMET03404,Daunorubicinol,DBMET03406,Deoxydaunorubicinol aglycone
DB00694,DB00694_rxn_5,3,DBMET03406,Deoxydaunorubicinol aglycone,DBMET03406,Deoxydaunorubicinol aglycone
DB00694,DB00694_rxn_6,3,DBMET03406,Deoxydaunorubicinol aglycone,DBMET03408,Deoxydaunorubicinol aglycone-13-O-β-glucuronide
DB00694,DB00694_rxn_7,3,DBMET03406,Deoxydaunorubicinol aglycone,DBMET03407,Demethyl deoxydaunorubicinol aglycone
DB00694,DB00694_rxn_8,3,DBMET03406,Deoxydaunorubicinol aglycone,DBMET03407,Demethyl deoxydaunorubicinol aglycone
DB00694,DB00694_rxn_9,3,DBMET03406,Deoxydaunorubicinol aglycone,DBMET03408,Deoxydaunorubicinol aglycone-13-O-β-glucuronide
DB00694,DB00694_rxn_10,4,DBMET03407,Demethyl deoxydaunorubicinol aglycone,DBMET03409,Demethyl deoxydaunorubicinol aglycone-4-O-sulfate
DB00694,DB00694_rxn_11,4,DBMET03407,Demethyl deoxydaunorubicinol aglycone,DBMET03410,Demethyl deoxydaunorubicinol aglycone-4-O-β-glucuronide
DB00694,DB00694_rxn_12,4,DBMET03407,Demethyl deoxydaunorubicinol aglycone,DBMET03409,Demethyl deoxydaunorubicinol aglycone-4-O-sulfate
DB00694,DB00694_rxn_13,4,DBMET03407,Demethyl deoxydaunorubicinol aglycone,DBMET03410,Demethyl deoxydaunorubicinol aglycone-4-O-β-glucuronide
DB00695,DB00695_rxn_0,1,DB00695,Furosemide,DBMET02949,Furosemide glucuronide
DB00695,DB00695_rxn_1,1,DB00695,Furosemide,DBMET00729,4-chloro-5-sulfamoylanthranilic acid
DB00697,DB00697_rxn_0,1,DB00697,Tizanidine,DBMET00273,"5-chloro-4-(guanidino)-2,1,3-benzothiadiazole"
DB00697,DB00697_rxn_1,1,DB00697,Tizanidine,DBMET02429,"5-chloro-4-(2- imidazolin-4-on-2-ylamino)-2,1,3-benzothiazdiazole"
DB00698,DB00698_rxn_0,1,DB00698,Nitrofurantoin,DBMET00798,Aminofurantoin
DB00699,DB00699_rxn_0,1,DB00699,Nicergoline,DBMET00320,"10-alpha-methoxy-9,10-dihydrolysergol"
DB00700,DB00700_rxn_0,1,DB00700,Eplerenone,DBMET01654,6beta-hydroxyeplerenone
DB00700,DB00700_rxn_1,1,DB00700,Eplerenone,DBMET01655,21-hydroxyeplerenone
DB00702,DB00702_rxn_0,1,DB00702,Icodextrin,DBMET00523,Maltotriose
DB00702,DB00702_rxn_1,1,DB00702,Icodextrin,DBMET00525,Maltotetraose
DB00702,DB00702_rxn_2,1,DB00702,Icodextrin,DBMET00495,Maltose
DB00704,DB00704_rxn_0,1,DB00704,Naltrexone,DBMET00760,6-beta-naltrexol
DB00705,DB00705_rxn_0,1,DB00705,Delavirdine,DBMET00360,N-desalkyl delavirdine
DB00706,DB00706_rxn_0,1,DB00706,Tamsulosin,DBMET02488,Tamsulosin M-1 Metabolite
DB00706,DB00706_rxn_1,1,DB00706,Tamsulosin,DBMET02489,Tamsulosin AM-1 Metabolite
DB00706,DB00706_rxn_2,1,DB00706,Tamsulosin,DBMET02490,Tamsulosin M-3 Metabolite
DB00706,DB00706_rxn_3,1,DB00706,Tamsulosin,DBMET02491,Tamsulosin M-4 Metabolite
DB00706,DB00706_rxn_4,1,DB00706,Tamsulosin,DBMET02492,Tamsulosin M-2 Metabolite
DB00706,DB00706_rxn_5,2,DBMET02492,Tamsulosin M-2 Metabolite,DBMET02493,Tamsulosin M-2-Glu Metabolite
DB00706,DB00706_rxn_6,2,DBMET02491,Tamsulosin M-4 Metabolite,DBMET02494,Tamsulosin M-4-Glu Metabolite
DB00706,DB00706_rxn_7,2,DBMET02488,Tamsulosin M-1 Metabolite,DBMET02495,Tamsulosin M-1-Glu Metabolite
DB00706,DB00706_rxn_8,2,DBMET02488,Tamsulosin M-1 Metabolite,DBMET02496,Tamsulosin M-1-Sul Metabolite
DB00706,DB00706_rxn_9,2,DBMET02490,Tamsulosin M-3 Metabolite,DBMET02497,Tamsulosin M-3-Glu Metabolite
DB00706,DB00706_rxn_10,2,DBMET02490,Tamsulosin M-3 Metabolite,DBMET02498,Tamsulosin M-3-Sul Metabolite
DB00709,DB00709_rxn_0,1,DB00709,Lamivudine,DBMET00895,Lamivudine sulfoxide
DB00709,DB00709_rxn_1,1,DB00709,Lamivudine,DBMET00896,Lamivudine-diphosphate-choline
DB00709,DB00709_rxn_2,1,DB00709,Lamivudine,DBMET00897,Lamivudine-diphosphate-ethanolamine
DB00709,DB00709_rxn_3,1,DB00709,Lamivudine,DBMET00898,Lamivudine-monophosphate
DB00709,DB00709_rxn_4,1,DB00709,Lamivudine,DBMET00899,Lamivudine-triphosphate
DB00711,DB00711_rxn_0,1,DB00711,Diethylcarbamazine,DBMET00836,diethylcarbamazine N-oxide
DB00712,DB00712_rxn_0,1,DB00712,Flurbiprofen,DBMET00151,4'-Hydroxyflurbiprofen
