drugbank_id,name,cas_number,unii
DB00568,Cinnarizine hydrochloride,25332-14-3,5AKM4OA6VO
DB00569,Fondaparinux sodium,114870-03-0,X0Q6N9USOZ
DB00570,Vinblastine sulfate,143-67-9,N00W22YO2B
DB00571,Propranolol hydrochloride,318-98-9,F8A3652H1V
DB00572,Atropine hydrochloride,33952-38-4,EUF58V826B
DB00572,Atropine sulfate,5908-99-6,03J5ZE7KA5
DB00572,Atropine sulfate anhydrous,55-48-1,KAE4PSB0Z3
DB00573,Fenoprofen calcium,53746-45-5,0X2CW1QABJ
DB00573,Fenoprofen sodium,34691-31-1,869607J16Q
DB00574,Fenfluramine hydrochloride,404-82-0,3KC089243P
DB00575,Clonidine hydrochloride,4205-91-8,W76I6XXF06
DB00577,Valaciclovir hydrochloride,124832-27-5,G447S0T1VC
DB00577,Valaciclovir hydrochloride monohydrate,521915-75-3,JF64RVR4E3
DB00578,Carbenicillin disodium,4800-94-6,9TS4B3H261
DB00579,Mazindol hydrochloride,58535-70-9,TYC95TXB8Q
DB00583,Levocarnitine chloride,6645-46-1,J3Y5E6IKS3
DB00583,Levocarnitine fumarate,220349-64-4,8Q37GK439O
DB00583,Levocarnitine tartrate,36687-82-8,4D8F2Q45LQ
DB00584,Enalapril maleate,76095-16-4,9O25354EPJ
DB00584,Enalapril sodium,149404-21-7,94A7UFL2SI
DB00586,Diclofenac deanol,81811-14-5,409Q1531N0
DB00586,Diclofenac diethylamine,78213-16-8,6TGQ35Z71K
DB00586,Diclofenac epolamine,119623-66-4,X5F8EKL9ZG
DB00586,Diclofenac potassium,15307-81-0,L4D5UA6CB4
DB00586,Diclofenac sodium,15307-79-6,QTG126297Q
DB00589,Lysuride maleate,19875-60-6,UV1635N8XW
DB00590,Doxazosin mesylate,77883-43-3,86P6PQK0MU
DB00592,Piperazine adipate,142-88-1,V7P5P122LB
DB00592,Piperazine citrate,41372-10-5,63KP7FXF2I
DB00592,Piperazine hexahydrate,142-63-2,P3M07B8U64
DB00592,Piperazine hydrate,16832-43-2,5O5QWX2S2D
DB00592,Piperazine hydrochloride,142-64-3,17VU4Z4W88
DB00592,Piperazine monohydrochloride,7542-23-6,7N36JHA4P6
DB00592,Piperazine phosphate,18534-18-4,8TIF7T48FP
DB00592,Piperazine sulfate,3597-26-0,C8493J9B36
DB00594,Amiloride hydrochloride,2016-88-8,7M458Q65S3
DB00594,Amiloride hydrochloride dihydrate,17440-83-4,FZJ37245UC
DB00595,Oxytetracycline calcium,13303-91-8,C8MRZ07FDV
DB00595,Oxytetracycline dihydrate,6153-64-6,X20I9EN955
DB00595,Oxytetracycline hydrochloride,2058-46-0,4U7K4N52ZM
DB00595,Oxytetracycline monocalcium,7179-50-2,M90SJ24J2X
DB00596,Ulobetasol propionate,66852-54-8,91A0K1TY3Z
DB00598,Labetalol hydrochloride,32780-64-6,1GEV3BAW9J
DB00599,Thiopental sodium,71-73-8,49Y44QZL70
DB00604,Cisapride monohydrate,260779-88-2,VZV0A4I38W
DB00605,Sulindac sodium,63804-15-9,NJV14I2XPC
DB00607,Nafcillin sodium,985-16-0,49G3001BCK
DB00608,Chloroquine hydrochloride,3545-67-3,NT0J0815S5
DB00608,Chloroquine phosphate,50-63-5,7FY24HE2G3
DB00608,Chloroquine sulfate,132-73-0,OE48649K6N
DB00610,Metaraminol bitartrate,33402-03-8,ZC4202M9P3
DB00611,Butorphanol tartrate,58786-99-5,2L7I72RUHN
DB00612,Bisoprolol fumarate,104344-23-2,UR59KN573L
DB00613,Amodiaquine dihydrochloride dihydrate,6398-98-7,K6PW2S574L
DB00613,Amodiaquine hydrochloride,69-44-3,HOE64181MP
DB00618,Demeclocycline calcium,17146-81-5,SD6S4YY5HP
DB00618,Demeclocycline hydrochloride,64-73-3,29O079NTYT
DB00619,Imatinib mesylate,220127-57-1,8A1O1M485B
DB00620,Triamcinolone acetonide,76-25-5,F446C597KA
DB00620,Triamcinolone diacetate,67-78-7,A73MM2Q32P
DB00620,Triamcinolone hexacetonide,5611-51-8,I7GT1U99Y9
DB00622,Nicardipine Hydrochloride,54527-84-3,K5BC5011K3
DB00623,Fluphenazine decanoate,5002-47-1,FMU62K1L3C
DB00623,Fluphenazine enanthate,2746-81-8,QSB34YF0W9
DB00623,Fluphenazine hydrochloride,146-56-5,ZOU145W1XL
DB00626,Bacitracin methylene disalicylate,55852-84-1,JGV6OJ52FT
DB00626,Bacitracin zinc,1405-89-6,89Y4M234ES
DB00628,Clorazepate dipotassium,57109-90-7,63FN7G03XY
DB00629,Guanabenz Acetate,23256-50-0,443O19GK1A
DB00630,Alendronate calcium,137504-90-6,3JTA994BVH
DB00630,Alendronate disodium,134606-40-9,I2U0WCC042
DB00630,Alendronate sodium,121268-17-5,2UY4M2U3RA
DB00630,Alendronate sodium anhydrous,129318-43-0,4988K7X26P
DB00633,Dexmedetomidine hydrochloride,145108-58-3,1018WH7F9I
DB00634,Sulfacetamide sodium,6209-17-2,4NRT660KJQ
DB00639,Butoconazole nitrate,64872-77-1,4805237NP5
DB00642,Pemetrexed disodium,150399-23-8,2PKU919BA9
DB00642,Pemetrexed disodium hemipentahydrate,357166-30-4,F4GSH45R4C
DB00642,Pemetrexed disodium heptahydrate,357166-29-1,9T47E4OM16
DB00642,Pemetrexed ditromethamine,1645228-03-0,HU11J9IK8F
DB00642,Pemetrexed monohydrate,,236Y2F7D9J
DB00644,Gonadorelin acetate,52699-48-6,2RG1XQ1NYJ
DB00644,Gonadorelin diacetate tetrahydrate,,L8CRY8PWF2
DB00644,Gonadorelin hydrochloride,51952-41-1,3PFC574ITA
DB00645,Dyclonine hydrochloride,536-43-6,ZEC193879Q
DB00646,Nystatin dihydrate,,
DB00647,Dextropropoxyphene hydrochloride,1639-60-7,CB2TL9PS0T
DB00647,Dextropropoxyphene napsylate,26570-10-5,38M219L1OJ
DB00650,Leucovorin calcium,1492-18-8,RPR1R4C0P4
DB00650,Leucovorin calcium pentahydrate,6035-45-6,R3W57OBQ5W
DB00650,Leucovorin sodium,163254-40-8,4MXU9LJS4Q
DB00652,Pentazocine hydrochloride,64024-15-3,A36BXO4PPX
DB00652,Pentazocine lactate,17146-95-1,1P2XIB510O
DB00653,Magnesium sulfate dihydrate,17830-05-6,10NKG94IWF
DB00653,Magnesium sulfate heptahydrate,10034-99-8,SK47B8698T
DB00653,Magnesium sulfate monohydrate,14168-73-1,E2L2TK027P
DB00656,Trazodone hydrochloride,25332-39-2,6E8ZO8LRNM
DB00657,Mecamylamine hydrochloride,826-39-1,4956DJR58O
DB00658,Sevelamer carbonate,845273-93-0,9YCX42I8IU
DB00658,Sevelamer hydrochloride,152751-57-0,GLS2PGI8QG
DB00659,Acamprosate calcium,77337-73-6,59375N1D0U
DB00661,Verapamil hydrochloride,152-11-4,V3888OEY5R
DB00662,Trimethobenzamide hydrochloride,554-92-7,WDQ5P1SX7Q
DB00663,Flumethasone acetate,2823-42-9,HB84ATQ00X
DB00663,Flumethasone pivalate,2002-29-1,0DV09X6F21
DB00666,Nafarelin acetate,86220-42-0,8ENZ0QJW4H
DB00668,Epinephrine acetate,97289-42-4,M1NJX34RVJ
DB00668,Epinephrine bitartrate,51-42-3,30Q7KI53AK
DB00668,Epinephrine hydrochloride,55-31-2,WBB047OO38
DB00669,Sumatriptan hemisulfate,143675-45-0,7T9PTJ824O
DB00669,Sumatriptan succinate,103628-48-4,J8BDZ68989
DB00670,Pirenzepine hydrochloride,29868-97-1,10YM403FLS
DB00671,Cefixime trihydrate,125110-14-7,97I1C92E55
DB00674,Galantamine hydrobromide,1953-04-4,MJ4PTD2VVW
DB00675,Tamoxifen citrate,54965-24-1,7FRV7310N6
DB00678,Losartan potassium,124750-99-8,3ST302B24A
DB00679,Thioridazine hydrochloride,130-61-0,4WCI67NK8M
DB00680,Moricizine hydrochloride,29560-58-5,71OK3Z1ESP
DB00681,Amphotericin B Cholesteryl Sulfate Complex,120895-52-5,774X4698X3
DB00681,Corifungin,41610-51-9,L26BTK4791
DB00682,Warfarin potassium,2610-86-8,I47IU4FOCO
DB00682,Warfarin sodium,129-06-6,6153CWM0CL
DB00683,Midazolam hydrochloride,59467-96-8,W7TTW573JJ
DB00683,Midazolam maleate,59467-94-6,77520S18SE
DB00684,Tobramycin hydrochloride,95188-93-5,01IX3OU168
DB00684,Tobramycin sulfate,49842-07-1,HJT0RXD7JK
DB00685,Trovafloxacin hydrochloride,146961-34-4,546454T03O
DB00685,Trovafloxacin mesylate,147059-75-4,0P1LKO80WN
DB00686,Calcium pentosan polysulfate,,
DB00686,Pentosan polysulfate sodium,140207-93-8,914032762Y
DB00687,Fludrocortisone acetate,514-36-3,V47IF0PVH4
DB00688,Mycophenolate mofetil hydrochloride,116680-01-4,UXH81S8ZVB
DB00689,Cefaloglycin dihydrate,22202-75-1,NE7R11LA95
DB00689,Cefaloglycin monohydrate,22202-76-2,KR2KCF5IBM
DB00690,Flurazepam hydrochloride,36105-20-1,7C4JH842IJ
DB00691,Moexipril Hydrochloride,82586-52-5,Q1UMG3UH45
DB00692,Phentolamine mesylate,65-28-1,Y7543E5K9T
DB00693,Fluorescein sodium,518-47-8,93X55PE38X
DB00694,Daunorubicin citrate,371770-68-2,5L84T2Z6NP
DB00694,Daunorubicin hydrochloride,23541-50-6,UD984I04LZ
DB00695,Furosemide sodium,41733-55-5,101EM454S7
DB00696,Ergotamine tartrate,379-79-3,MRU5XH3B48
DB00697,Tizanidine hydrochloride,64461-82-1,B53E3NMY5C
DB00698,Nitrofurantoin monohydrate,17140-81-7,E1QI2CQQ1I
DB00698,Nitrofurantoin sodium,54-87-5,MAL9M0T5LV
DB00704,Naltrexone hydrochloride,16676-29-2,Z6375YW9SF
DB00705,Delavirdine mesylate,147221-93-0,421105KRQE
DB00706,Tamsulosin hydrochloride,106463-17-6,11SV1951MR
DB00708,Sufentanil citrate,60561-17-3,S9ZFX8403R
DB00710,Ibandronate sodium,138926-19-9,J12U072QL0
DB00711,Diethylcarbamazine citrate,1642-54-2,OS1Z389K8S
DB00712,Flurbiprofen sodium,,M3QE6AS001
DB00713,Oxacillin sodium,1173-88-2,4TWD2995UP
DB00713,Oxacillin sodium monohydrate,7240-38-2,G0V6C994Q5
DB00714,Apomorphine hydrochloride,41372-20-7,F39049Y068
DB00715,Paroxetine hydrochloride,78246-49-8,3I3T11UD2S
DB00715,Paroxetine hydrochloride hemihydrate,110429-35-1,X2ELS050D8
DB00715,Paroxetine mesylate,217797-14-3,M711N184JE
DB00716,Nedocromil sodium,69049-74-7,ET8IF4KS1T
DB00717,Norethisterone acetate,51-98-9,9S44LIC7OJ
DB00719,Azatadine maleate,3978-86-7,F3Q391WTX7
DB00720,Clodronate disodium,88416-50-6,N030400H8J
DB00721,Procaine hydrochloride,51-05-8,95URV01IDQ
DB00721,Procaine nitrate,6192-92-3,T824SI1PU1
DB00721,Procaine phosphate,54812-66-7,A18LHT9ZXJ
DB00722,Lisinopril dihydrate,83915-83-7,E7199S1YWR
DB00723,Methoxamine hydrochloride,61-16-5,8MB4MJ9R7L
DB00726,Trimipramine maleate,521-78-8,269K6498LD
DB00726,Trimipramine mesylate,25332-13-2,Y62G268P6X
DB00728,Rocuronium bromide,119302-91-9,I65MW4OFHZ
DB00733,Pralidoxime chloride,51-15-0,38X7XS076H
DB00733,Pralidoxime methyl sulfate,1200-55-1,FQO9PAV523
DB00734,Risperidone tartrate,666179-92-6,0S6B72E3LK
DB00735,Naftifine Hydrochloride,65473-14-5,25UR9N9041
DB00736,Esomeprazole magnesium,161973-10-0,925R0D7W1O
DB00736,Esomeprazole magnesium dihydrate,217087-10-0,36H71644EQ
DB00736,Esomeprazole magnesium trihydrate,217087-09-7,R6DXU4WAY9
DB00736,Esomeprazole sodium,161796-78-7,L2C9GWQ43H
DB00736,Esomeprazole strontium,914613-86-8,SCC2RK476A
DB00736,Esomeprazole strontium hydrate,934714-36-0,C5N25H3803
DB00737,Meclizine hydrochloride,31884-77-2,HDP7W44CIO
DB00738,Pentamidine gluconate,123245-08-9,B0WU872RIR
DB00738,Pentamidine isethionate,140-64-7,V2P3K60DA2
DB00738,Pentamidine mesylate,6823-79-6,863QBB4D0A
DB00739,Hetacillin potassium,5321-32-4,95PFX5932Y
DB00740,Riluzole Hydrochloride,,
DB00743,Gadobenate dimeglumine,127000-20-8,3Q6PPC19PO
DB00746,Deferoxamine hydrochloride,1950-39-6,G9VYJ96FOJ
DB00746,Deferoxamine mesylate,138-14-7,V9TKO7EO6K
DB00748,Carbinoxamine maleate,3505-38-2,02O55696WH
DB00750,Prilocaine hydrochloride,1786-81-8,MJW015BAPH
DB00751,Epinastine hydrochloride,108929-04-0,GFM415S5XL
DB00752,Tranylcypromine sulfate,13492-01-8,7ZAT6ES870
DB00757,Dolasetron mesylate,878143-33-0,U3C8E5BWKR
DB00758,Clopidogrel besilate,744256-69-7,BL9VGG8BHW
DB00758,Clopidogrel bisulfate,120202-66-6,08I79HTP27
DB00758,Clopidogrel hydrochloride,120202-65-5,426O7XWS6Y
DB00758,Clopidogrel resinate,1023927-71-0,F5Q3N98VAM
DB00759,Tetracycline hydrochloride,64-75-5,P6R62377KV
DB00759,Tetracycline phosphate,13930-32-0,NZ662XY5PP
DB00760,Meropenem sodium,211238-34-5,
DB00760,Meropenem trihydrate,119478-56-7,FV9J3JU8B1
DB00762,Irinotecan hydrochloride,100286-90-6,06X131E4OE
DB00762,Irinotecan hydrochloride hydrate,136572-09-3,042LAQ1IIS
DB00762,Irinotecan sucrosofate,1361317-83-0,OL741S3N8B
DB00766,Clavulanate potassium,61177-45-5,Q42OMW3AT8
DB00767,Benzquinamide hydrochloride,113-69-9,3221WFM86J
DB00768,Olopatadine hydrochloride,140462-76-6,2XG66W44KF
DB00769,Hydrocortamate hydrochloride,125-03-1,9QM8U7R83W
DB00771,Clidinium Bromide,3485-62-9,91ZQW5JF1Z
DB00773,Etoposide phosphate,117091-64-2,528XYJ8L1N
DB00775,Tirofiban hydrochloride,150915-40-5,6H925F8O5J
DB00777,Propiomazine hydrochloride,1240-15-9,70BO17YR03
DB00780,Phenelzine sulfate,156-51-4,2681D7P965
DB00782,Propantheline bromide,50-34-0,UX9Z118X9F
DB00783,Estradiol hemihydrate,35380-71-3,CXY7B3Q98Z
DB00787,Acyclovir sodium,69657-51-8,927L42J563
DB00788,Naproxen sodium,26159-34-2,9TN87S3A3C
DB00789,Gadopentetate dimeglumine,86050-77-3,RH248G8V27
DB00790,Perindopril arginine,612548-45-5,TFT5IM1KGB
DB00790,Perindopril erbumine,107133-36-8,1964X464OJ
DB00790,Perindopril tosylate,1258291-80-3,G092350E9M
DB00792,Tripelennamine citrate,6138-56-3,30OC46A3J9
DB00792,Tripelennamine hydrochloride,154-69-8,FWV8GJ56ZN
DB00797,Tolazoline hydrochloride,59-97-2,E669Z6S1JG
DB00798,Gentamicin sulfate,1405-41-0,8X7386QRLV
DB00800,Fenoldopam mesylate,67227-57-0,HA3R0MY016
DB00802,Alfentanil hydrochloride,70879-28-6,11S92G0TIW
DB00803,Colistin sulfate,1264-72-8,WP15DXU577
DB00804,Dicyclomine hydrochloride,67-92-5,CQ903KQA31
DB00805,Minaprine dihydrochloride,25953-17-7,82Y7NT6DFT
DB00807,Proparacaine hydrochloride,5875-06-9,U96OL57GOY
DB00810,Biperiden hydrochloride,1235-82-1,K35N76CUHF
DB00810,Biperiden lactate,7085-45-2,09TD6C5147
DB00813,Fentanyl citrate,990-73-8,MUN5LYG46H
DB00813,Fentanyl hydrochloride,1443-54-5,59H156XY46
DB00816,Orciprenaline Sulfate,5874-97-5,GJ20H50YF0
DB00819,Acetazolamide sodium,1424-27-7,429ZT169UH
DB00828,Fosfomycin calcium monohydrate,26469-67-0,T330QG2NYS
DB00828,Fosfomycin sodium,26016-99-9,97MMO19FNO
DB00828,Fosfomycin tromethamine,78964-85-9,7FXW6U30GY
DB00829,Diazepam hydrochloride,52468-36-7,6JD21U639H
DB00830,Phenmetrazine hydrochloride,1707-14-8,6U85YRT588
DB00831,Trifluoperazine hydrochloride,440-17-5,6P1Y2SNF5V
DB00833,Cefaclor monohydrate,70356-03-5,69K7K19H4L
DB00835,Brompheniramine maleate,980-71-2,IXA7C9ZN03
DB00836,Loperamide hydrochloride,34552-83-5,77TI35393C
DB00838,Clocortolone pivalate,34097-16-0,QBL8IZH14X
DB00841,Dobutamine hydrochloride,49745-95-1,0WR771DJXV
DB00841,Dobutamine tartrate,101626-66-8,5D1IB9AI6J
DB00843,Donepezil hydrochloride,120011-70-3,3O2T2PJ89D
DB00843,Donepezil hydrochloride monohydrate,884740-09-4,7KZL5YRL6W
DB00844,Nalbuphine hydrochloride,23277-43-2,ZU4275277R
DB00847,Cysteamine bitartrate,27761-19-9,QO84GZ3TST
DB00847,Cysteamine hydrochloride,156-57-0,IF1B771SVB
DB00848,Levamisole hydrochloride,16595-80-5,DL9055K809
DB00848,Levamisole phosphate,32093-35-9,FIG89N8AZY
DB00848,Levamisole resinate,,
DB00852,Pseudoephedrine hydrochloride,345-78-8,6V9V2RYJ8N
DB00852,Pseudoephedrine sulfate,7460-12-0,Y9DL7QPE6B
DB00854,Levorphanol tartrate,,04WQU6T9QI
DB00855,Aminolevulinic acid hydrochloride,5451-09-2,V35KBM8JGR
DB00857,Terbinafine hydrochloride,78628-80-5,012C11ZU6G
DB00862,Vardenafil hydrochloride,330808-88-3,5M8S2CU0TS
DB00863,Ranitidine bismuth citrate,128345-62-0,7AJ51I17KG
DB00863,Ranitidine hydrochloride,66357-59-3,BK76465IHM
DB00864,Tacrolimus hydrate,109581-93-3,WM0HAQ4WNM
DB00865,Benzphetamine hydrochloride,5411-22-3,43DWT87QT7
DB00866,Alprenolol hydrochloride,13707-88-5,2502C2OIRK
DB00867,Ritodrine hydrochloride,23239-51-2,ESJ56Q60GC
DB00869,Dorzolamide hydrochloride,130693-82-2,QZO5366EW7
DB00871,Terbutaline sulfate,23031-32-5,576PU70Y8E
DB00872,Conivaptan hydrochloride,168626-94-6,75L57R6X36
DB00875,Flupentixol decanoate,30909-51-4,3B2FE28C1W
DB00875,Flupentixol dihydrochloride,51529-01-2,96L0Z069N1
DB00876,Eprosartan mesylate,144143-96-4,8N2L1NX8S3
DB00876,Eprosartan mesylate dihydrate,197855-71-3,9G2HB74868
DB00878,Chlorhexidine acetate,56-95-1,5908ZUF22Y
DB00878,Chlorhexidine gluconate,18472-51-0,MOR84MUD8E
DB00878,Chlorhexidine hydrochloride,3697-42-5,E64XL9U38K
DB00880,Chlorothiazide sodium,7085-44-1,SN86FG7N2K
DB00881,Quinapril Hydrochloride,82586-55-8,33067B3N2M
DB00882,Clomifene citrate,50-41-9,1B8447E7YI
DB00884,Risedronate sodium,115436-72-1,OFG5EXG60L
DB00884,Risedronate sodium hemi-pentahydrate,329003-65-8,HU2YAQ274O
DB00884,Risedronate sodium monohydrate,353228-19-0,F67L43UT5C
DB00885,Pemirolast potassium,100299-08-9,497A17OUUE
DB00888,Mechlorethamine hydrochloride,55-86-7,L0MR697HHI
DB00889,Granisetron hydrochloride,107007-99-8,318F6L70J8
DB00892,Oxybuprocaine hydrochloride,5987-82-6,0VE4U49K15
DB00899,Remifentanil hydrochloride,132539-07-2,5V444H5WIC
DB00901,Bitolterol mesylate,30392-41-7,4E53T3611U
DB00902,Methdilazine Hydrochloride,1229-35-2,T0GSO02UEZ
DB00903,Ethacrynate sodium,6500-81-8,K41MYV7MPM
DB00904,Ondansetron hydrochloride,99614-01-4,2999F27MAD
DB00904,Ondansetron hydrochloride dihydrate,103639-04-9,NMH84OZK2B
DB00906,Tiagabine hydrochloride,145821-59-6,DQH6T6D8OY
DB00907,Cocaine hydrochloride,53-21-4,XH8T8T6WZH
DB00908,Quinidine gluconate,7054-25-3,R6875N380F
DB00908,Quinidine hydrochloride,1668-99-1,S4P5V5597B
DB00908,Quinidine polygalacturonate,27555-34-6,H0C54E9D68
DB00908,Quinidine sulfate,6591-63-5,J13S2394HE
DB00913,Anileridine hydrochloride,126-12-5,915Q054DLC
DB00913,Anileridine phosphate,1976-75-6,3584484N8V
DB00914,Phenformin hydrochloride,834-28-6,91XC93EU03
DB00915,Amantadine hydrochloride,665-66-7,M6Q1EO9TD0
DB00915,Amantadine sulfate,31377-23-8,9921T5P019
DB00916,Metronidazole hydrochloride,69198-10-3,76JC1633UF
DB00918,Almotriptan malate,181183-52-8,PJP312605E
DB00919,Spectinomycin dihydrochloride pentahydrate,,
DB00919,Spectinomycin hydrochloride,22193-75-5,HL7KC2YV22
DB00919,Spectinomycin hydrochloride pentahydrate,22189-32-8,HWT06H303Z
DB00919,Spectinomycin sulfate,23312-56-3,BZ0H4TLF9X
DB00919,Spectinomycin sulfate tetrahydrate,64058-48-6,YS91P54918
DB00920,Ketotifen fumarate,34580-14-8,HBD503WORO
DB00921,Buprenorphine hydrochloride,53152-21-9,56W8MW3EN1
DB00924,Cyclobenzaprine hydrochloride,6202-23-9,0VE05JYS2P
DB00925,Phenoxybenzamine hydrochloride,63-92-3,X1IEG24OHL
DB00930,Colesevelam hydrochloride,182815-44-7,P4SG24WI5Q
DB00931,Metacycline hydrochloride,3963-95-9,9GJ0N7ZAP0
DB00932,Tipranavir disodium,191150-83-1,9BAN2XG1ZW
DB00933,Mesoridazine besylate,32672-69-8,T4G2I958J2
DB00933,Mesoridazine mesilate,,
DB00934,Maprotiline hydrochloride,10347-81-6,7C8J54PVFI
DB00935,Oxymetazoline hydrochloride,2315-02-8,K89MJ0S5VY
DB00936,Choline magnesium trisalicylate,64425-90-7,DJJ95FJP1H
DB00936,Diethylamine salicylate,4419-92-5,5V7PT38BJU
DB00936,Potassium salicylate,578-36-9,K91YT16P5M
DB00936,Sodium salicylate,54-21-7,WIQ1H85SYP
DB00937,Diethylpropion hydrochloride,134-80-5,19V2PL39NG
DB00938,Salmeterol xinafoate,94749-08-3,6EW8Q962A5
DB00939,Meclofenamate sodium,67254-91-5,94NJ818U2W
DB00940,Methantheline bromide,53-46-3,090519SAPF
DB00941,Hexafluronium bromide,317-52-2,B64NJG83K2
DB00942,Cycrimine hydrochloride,126-02-3,9RB4L4K895
DB00944,Demecarium bromide,56-94-0,61D5V4OKTP
DB00945,Lysine acetylsalicylate,62952-06-1,2JJ274J145
DB00948,Mezlocillin sodium,42057-22-7,RX227TP94U
DB00948,Mezlocillin sodium monohydrate,80495-46-1,3CWW8B5904
DB00950,Fexofenadine hydrochloride,153439-40-8,2S068B75ZU
DB00952,Naratriptan hydrochloride,143388-64-1,10X8X4P12Z
DB00953,Rizatriptan benzoate,145202-66-0,WR978S7QHH
DB00955,Netilmicin sulfate,56391-57-2,S741ZJS97U
DB00956,Hydrocodone bitartrate,34195-34-1,NO70W886KK
DB00956,Hydrocodone hydrochloride,25968-91-6,QKZ0920OV3
DB00956,Hydrocodone polistirex,,
DB00959,Methylprednisolone acetate,53-36-1,43502P7F0P
DB00961,Mepivacaine hydrochloride,1722-62-9,4VFX2L7EM5
DB00963,Bromfenac sodium,120638-55-3,8ECV571Y37
DB00964,Apraclonidine hydrochloride,73218-79-8,D2VW67N38H
DB00966,Telmisartan sodium,515815-47-1,K15TQY55Q7
DB00968,Methyldopa hydrochloride,2508-79-4,7PX435DN5A
DB00968,Methyldopa sesquihydrate,41372-08-1,56LH93261Y
DB00969,Alosetron hydrochloride,122852-69-1,2F5R1A46YW
DB00972,Azelastine hydrochloride,79307-93-0,0L591QR10I
DB00978,Lomefloxacin hydrochloride,98079-52-8,9VC7S3ZXXB
DB00979,Cyclopentolate hydrochloride,5870-29-1,736I6971TE
DB00981,Physostigmine salicylate,57-64-7,2046ZRO9VU
DB00981,Physostigmine Sulfate,64-47-1,G63V2J2N71
DB00983,Formoterol fumarate,183814-30-4,W34SHF8J2K
DB00986,Glycopyrronium bromide,51186-83-5,V92SO9WP2I
DB00986,Glycopyrronium tosylate,1624259-25-1,1PVF6JLU7B
DB00987,Cytarabine hydrochloride,69-74-9,33K3DB6591
DB00988,Dopamine hydrochloride,62-31-7,7L3E358N9L
DB00989,Rivastigmine tartrate,129101-54-8,9IY2357JPE
DB00991,Oxaprozin potassium,174064-08-5,ML56O2Z92I
DB00992,Methyl aminolevulinate hydrochloride,79416-27-6,7S73606O1A
DB00993,Azathioprine sodium,55774-33-9,AM94R510MS
DB00994,Neomycin palmitate,55298-68-5,3I9J454G9F
DB00994,Neomycin sulfate,1405-10-3,057Y626693
DB00997,Doxorubicin citrate,111266-55-8,AJQ2ZNG2WL
DB00997,Doxorubicin hydrochloride,25316-40-9,82F2G7BL4E
DB00998,Frovatriptan succinate,158930-17-7,D28J6W18HY
DB00998,Frovatriptan succinate anhydrous,158930-09-7,36K05YF32G
DB01001,Albuterol sulfate,51022-70-9,021SEF3731
DB01002,Levobupivacaine hydrochloride,27262-48-2,J998RDZ51I
DB01003,Cromoglicate sodium,15826-37-6,Q2WXR1I0PK
DB01004,Ganciclovir sodium,107910-75-8,02L083W284
DB01007,Tioconazole hydrochloride,61675-64-7,T1QKM21KYB
DB01009,Ketoprofen lysine,57469-78-0,5WD00E3D4C
DB01009,Ketoprofen sodium,57495-14-4,5R10M39KS7
DB01010,Edrophonium bromide,302-83-0,KX008093VW
DB01010,Edrophonium chloride,116-38-1,QO611KSM5P
DB01012,Cinacalcet hydrochloride,364782-34-3,1K860WSG25
DB01014,Balsalazide disodium,150399-21-6,1XL6BJI034
DB01017,Minocycline hydrochloride,13614-98-7,0020414E5U
DB01018,Guanfacine hydrochloride,29110-48-3,PML56A160O
DB01019,Bethanechol chloride,590-63-6,H4QBZ2LO84
DB01024,Mycophenolate sodium,37415-62-6,WX877SQI1G
DB01029,Irbesartan hydrochloride,329055-23-4,3OGC31WUMZ
DB01030,Topotecan hydrochloride,119413-54-6,956S425ZCY
DB01033,Mercaptopurine monohydrate,6112-76-1,E7WED276I5
DB01035,Procainamide hydrochloride,614-39-1,SI4064O0LX
DB01036,Tolterodine tartrate,124937-52-6,5T619TQR3R
DB01037,Selegiline hydrochloride,14611-52-0,6W731X367Q
DB01038,Carphenazine maleate,2975-34-0,0HX1Z0A2MC
DB01042,Melphalan hydrochloride,3223-07-2,1VXP4V453T
DB01043,Memantine hydrochloride,41100-52-1,JY0WD0UA60
DB01044,Gatifloxacin hemihydrate,404858-36-2,AN201CY09J
DB01044,Gatifloxacin sesquihydrate,180200-66-2,L4618BD7KJ
DB01045,Rifampicin sodium,38776-75-9,GPE7477YEK
DB01048,Abacavir hydrochloride,136777-48-5,RP0T719KX7
DB01048,Abacavir hydrochloride monohydrate,,GZP7A66C3C
DB01048,Abacavir sulfate,188062-50-2,J220T4J9Q2
DB01050,Ibuprofen aluminum,61054-06-6,D0YGZ1VO1B
DB01050,Ibuprofen arginine,57469-82-6,XV17W49C9U
DB01050,Ibuprofen lysine,57469-77-9,N01ORX9D6S
DB01050,Ibuprofen potassium,79261-49-7,48304089JJ
DB01050,Ibuprofen sodium,527688-20-6,RM1CE97Z4N
DB01051,Novobiocin sodium,1476-53-5,Q9S9NQ5YIY
DB01053,Benethamine penicillin,751-84-8,O3S7RWT8R5
DB01053,Benzathine benzylpenicillin,1538-09-6,SSZ1S4I0US
DB01053,Benzylpenicillin benzathine hydrate,41372-02-5,RIT82F58GK
DB01053,Benzylpenicillin calcium,973-53-5,Z1GL5S1Z1Z
DB01053,Benzylpenicillin potassium,113-98-4,VL775ZTH4C
DB01053,Benzylpenicillin sodium,69-57-8,YS5LY7JF4N
DB01056,Tocainide hydrochloride,71395-14-7,2K7I38CKN5
DB01057,Echothiophate iodide,513-10-0,BA9QH3P00T
DB01060,Amoxicillin sodium,34642-77-8,544Y3D6MYH
DB01060,Amoxicillin Trihydrate,61336-70-7,804826J2HU
